stu.jnu.edu.cn      58.248.169.229  
food.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.12,113.195.63.18  
git.jnu.edu.cn      113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19  
backup.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
account.jnu.edu.cn      113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19  
vpn2.jnu.edu.cn      58.248.169.230  
vpn1.jnu.edu.cn      218.19.141.6  
gh.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.17,113.195.63.9  
cache.jnu.edu.cn      58.248.169.231  
code.jnu.edu.cn      113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16  
rtx.jnu.edu.cn      113.195.63.17,113.195.63.11,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
log.jnu.edu.cn      113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7  
assets.jnu.edu.cn      113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12  
wireless.jnu.edu.cn      113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
view.jnu.edu.cn      58.248.169.224  
ec.jnu.edu.cn      113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17  
register.jnu.edu.cn      202.116.0.181  
pay.jnu.edu.cn      113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
fc.jnu.edu.cn      113.195.63.12,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15,113.195.63.18  
learning.jnu.edu.cn      113.195.63.13,113.195.63.7,113.195.63.4,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10  
net.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
cw.jnu.edu.cn      113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.9,113.195.63.15,113.195.63.12  
archives.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
opac.jnu.edu.cn      113.195.63.16,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.14  
fi.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18  
study.jnu.edu.cn      113.195.63.16,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.7,113.195.63.13,113.195.63.11,113.195.63.14,113.195.63.20  
www6.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.18  
arts.jnu.edu.cn      113.195.63.11,113.195.63.20,113.195.63.14,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16  
faculty.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18  
law.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
mkt.jnu.edu.cn      113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.16,113.195.63.14  
vod.jnu.edu.cn      113.195.63.12,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15  
antivirus.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.18,113.195.63.19,113.195.63.10  
sky.jnu.edu.cn      113.195.63.18,113.195.63.12,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15  
sis.jnu.edu.cn      113.195.63.7,113.195.63.4,113.195.63.15,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
ip.jnu.edu.cn      113.195.63.14,113.195.63.13,113.195.63.16,113.195.63.7,113.195.63.20,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4  
jwc.jnu.edu.cn      113.195.63.7,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.12,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15  
exam.jnu.edu.cn      113.195.63.4,113.195.63.17,113.195.63.9,113.195.63.10,113.195.63.11,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
conference.jnu.edu.cn      113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14  
vpn3.jnu.edu.cn      120.197.46.6  
ipv6.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
iss.jnu.edu.cn      113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.13,113.195.63.16  
sas.jnu.edu.cn      113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13  
robot.jnu.edu.cn      113.195.63.20,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14  
statistics.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
enroll.jnu.edu.cn      113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13  
emba.jnu.edu.cn      113.195.63.12,113.195.63.18,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15  
sjc.jnu.edu.cn      113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.7,113.195.63.13  
speed.jnu.edu.cn      113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18  
zh.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17  
helix.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
xy.jnu.edu.cn      113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13  
wsc.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.11,113.195.63.17,113.195.63.9  
phys.jnu.edu.cn      113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7  
cai.jnu.edu.cn      113.195.63.18,113.195.63.19,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12  
bme.jnu.edu.cn      113.195.63.18,113.195.63.19,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12  
skb.jnu.edu.cn      113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.17  
openapi.jnu.edu.cn      113.195.63.12,113.195.63.18,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15  
muse.jnu.edu.cn      113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14  
pack.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.14,113.195.63.20,113.195.63.11  
yz.jnu.edu.cn      113.195.63.18,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12  
photon.jnu.edu.cn      113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
laser.jnu.edu.cn      113.195.63.7,113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4  
